product_id,product_name,jumlah_hari_transaksi,total_unit_terjual,rata2_per_transaksi
GDL001,Good Day latte,3,36.0,12.0
BR001,Bumbu Rendang,3,33.0,11.0
TLR1,TELUR 1KG,3,32.0,10.666666666666666
QKR001,Quaker oat,3,29.0,9.666666666666666
SK2,Sus kering 200,3,29.0,9.666666666666666
BSPHP01,Beras SPHP,3,28.0,9.333333333333334
MZ001,Minyak rizky,3,28.0,9.333333333333334
VLP001,Value pack,3,28.0,9.333333333333334
GC001,Garuda corn,3,27.0,9.0
SC001,Soklin cair,3,24.0,8.0
BPT02,B. putih 1/2,3,23.0,7.666666666666667
KPT04,K. tongkol 1/4,3,19.0,6.333333333333333
MLG001,Madu Lumbang,3,14.0,4.666666666666667
BS001,Bumbu soto,3,11.0,3.6666666666666665
KPT001,K. tongkol 1bal,3,7.0,2.3333333333333335
BRW001,BUMBU RAWON,3,6.0,2.0
DLC001,dilan cookies,2,136.0,68.0
OKJ2,Okky Jelly 2,2,93.0,46.5
APT001,apetito,2,77.0,38.5
KP001,kecap,2,75.0,37.5
EMR001,EMERON,2,68.0,34.0
PTL001,Potato lite,2,64.0,32.0
GC001,Garuda Corn,2,62.0,31.0
GD001,Garuda donat,2,61.0,30.5
GL1001,gula 1kg,2,60.0,30.0
MG001,MAGGIC,2,60.0,30.0
MCN004,Micin 2000,2,51.0,25.5
PLS002,pilus,2,48.0,24.0
RST001,ROASTA,2,47.0,23.5
OREO001,OREO,2,42.0,21.0
KTB001,KETUMBAR,2,41.0,20.5
VNP01,Vernipan,2,38.0,19.0
GM02,Gula merah 1kg,2,35.0,17.5
KCP001,Kacang peyek,2,35.0,17.5
TLR1,telur 1kg,2,35.0,17.5
CHR001,charm softex,2,34.0,17.0
MTA001,Montea,2,33.0,16.5
PDK001,Pepsodent kecil,2,32.0,16.0
SST001,SOSOFT,2,32.0,16.0
TLR2,telur 1/2,2,32.0,16.0
MMJ001,Mie menjangan,2,31.0,15.5
GL2001,GULA 1/2,2,30.0,15.0
TBN001,Teh Bandoelan,2,30.0,15.0
STT001,SATELIT,2,29.0,14.5
RTP001,ROTI PIA,2,28.0,14.0
BRS02,Beras 1/2,2,27.0,13.5
EKC001,Ekonomi Cair,2,26.0,13.0
KTK001,Kertas Kado,2,25.0,12.5
ELP001,Elite potato,2,24.0,12.0
RDR001,ROMA DURIAN,2,24.0,12.0
MYF001,Minyak Filma,2,23.0,11.5
TGS02,T. Segitiga 1/2,2,22.0,11.0
BJ001,Baygon jumbo,2,21.0,10.5
MBK002,Mie baked,2,21.0,10.5
TS001,Tisu Multi,2,21.0,10.5
GL003,Gula 1/4,2,20.0,10.0
KTK001,Kertas kado,2,20.0,10.0
ZN001,ZEN,2,20.0,10.0
BPT023,B. putih ons,2,18.0,9.0
KKP001,KERUPUK PANDA,2,18.0,9.0
TPL2,Tropical 2lt,2,18.0,9.0
BRT001,BARAKAT,2,16.0,8.0
GRB001,Gula rosebrand,2,16.0,8.0
KKP001,Kerupuk panda,2,15.0,7.5
VLP001,VALUE PACK,2,15.0,7.5
DTL001,DETOL,2,14.0,7.0
KPP01,Kerupuk puli 1/2,2,14.0,7.0
KPU001,KERUPUK UDANG,2,13.0,6.5
PT1/4.T,PLASTIK 1/4 TEBAL,2,13.0,6.5
SLQ001,SilverQueen,2,13.0,6.5
KMR001,Kemiri ons,2,12.0,6.0
BRW001,Bumbu rawon,2,11.0,5.5
STS,Santan Sasa,2,11.0,5.5
PKK001,Permen kopiko,2,10.0,5.0
KSK02,K. Singkong 1kg,2,9.0,4.5
BG002,Bunga gem 1kg,2,8.0,4.0
KCK001,KRECEK 1/2,2,7.0,3.5
KUS001,Keripik usus 1/2,2,7.0,3.5
SCK001,Sus coklat 1kg,2,7.0,3.5
CBB001,Coklat box besar,2,6.0,3.0
KPG01,Kue kuping gajah,2,6.0,3.0
KPT002,K. tongkol 1kg,2,6.0,3.0
PT001,PETIS 1/4,2,6.0,3.0
SK03,Sus kering 1kg,2,5.0,2.5
SST001,Sosoft,2,5.0,2.5
JLS001,Jelly stik,2,4.0,2.0
PT002,Petis 1/2,2,2.0,1.0
GRA001,Garuda Atom,1,130.0,130.0
AMP01,amplop,1,100.0,100.0
AMP01,AMPLOP,1,87.0,87.0
PTT001,PERMEN TINGTING,1,74.0,74.0
JLI02,INACO ECER,1,61.0,61.0
AMP01,Amplop,1,59.0,59.0
SCR01,Sabun Carsen,1,48.0,48.0
MSK001,masako,1,46.0,46.0
FTG001,fruta gummy 2,1,45.0,45.0
PLP001,pilus pop,1,43.0,43.0
PT1/2,PLASTIK 1/2,1,43.0,43.0
RYC001,royco,1,40.0,40.0
SBE001,ekonomi colek,1,39.0,39.0
ENG001,Energen,1,37.0,37.0
EMR001,emeron,1,36.0,36.0
GCC001,Garuda Crunchy,1,36.0,36.0
GDY001,good day,1,36.0,36.0
RSB001,Rinso bubuk,1,34.0,34.0
TC001,Tortila chip,1,34.0,34.0
JLI02,inaco ecer,1,33.0,33.0
NTJ001,NUTRIJELL,1,33.0,33.0
POK001,Permen Okky,1,31.0,31.0
ADS001,Adem Sari,1,30.0,30.0
DLN001,DILAN 1000,1,30.0,30.0
GRM01,GARAM,1,30.0,30.0
IDM002,INDOMILK,1,30.0,30.0
MP001,Mie Panda,1,30.0,30.0
TRS001,TERASI,1,30.0,30.0
BBG001,BUBBLE GUM,1,28.0,28.0
PSD001,pepsodent,1,28.0,28.0
TLA001,tolak angin,1,28.0,28.0
DSK01,DESAKU REMPAH,1,27.0,27.0
SN001,SABUN NUVO,1,26.0,26.0
DSO001,DESAKU OPOR,1,25.0,25.0
MLK02,Malkist Besar,1,25.0,25.0
QKR001,QUAKER OAT,1,25.0,25.0
